--- HELLO ---
<<< device NEZHA2 robot tigez 3527777815
--- STATUS (pre-flight) ---
<<< status ready=0 active=0 connL=0 connR=0 otos=0 wedge=0 flags=0 i2cf=0 cyc=0 tlm=off next=1 done=0 reason=none
STATUS: status ready=0 active=0 connL=0 connR=0 otos=0 wedge=0 flags=0 i2cf=0 cyc=0 tlm=off next=1 done=0 reason=none
--- TLM POSE ---
>>> TLM POSE #1
<<< ack 1 0 none
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
<<< t 27 81327 31 -1 0 1471 0 0 0 0 0 0
<<< t 28 81399 31 -1 0 1471 0 0 0 0 0 0
<<< t 29 81471 31 -1 0 1471 0 0 0 0 0 0
<<< t 30 81543 31 -1 0 1471 0 0 0 0 0 0
<<< t 31 81615 31 -1 0 1471 0 0 0 0 0 0
<<< t 32 81687 31 -1 0 1471 0 0 0 0 0 0
<<< t 33 81759 31 -1 0 1471 0 0 0 0 0 0
<<< t 34 81831 31 -1 0 1471 0 0 0 0 0 0
<<< t 35 81903 31 -1 0 1471 0 0 0 0 0 0
<<< t 36 81975 31 -1 0 1471 0 0 0 0 0 0
<<< t 37 82047 31 -1 0 1471 0 0 0 0 0 0
<<< t 38 82119 31 -1 0 1471 0 0 0 0 0 0
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
<<< t 39 82191 31 -1 0 1471 0 0 0 0 0 0
<<< t 40 82263 31 -1 0 1471 0 0 0 0 0 0
<<< t 41 82335 31 -1 0 1471 0 0 0 0 0 0
<<< t 42 82407 31 -1 0 1471 0 0 0 0 0 0
<<< t 43 82479 31 -1 0 1471 0 0 0 0 0 0
<<< t 44 82551 31 -1 0 1471 0 0 0 0 0 0
<<< t 45 82623 31 -1 0 1471 0 0 0 0 0 0
<<< t 46 82695 31 -1 0 1471 0 0 0 0 0 0
<<< t 47 82767 31 -1 0 1471 0 0 0 0 0 0
<<< t 48 82839 31 -1 0 1471 0 0 0 0 0 0
<<< t 49 82911 31 -1 0 1471 0 0 0 0 0 0
<<< t 50 82983 31 -1 0 1471 0 0 0 0 0 0
<<< t 51 83055 31 -1 0 1471 0 0 0 0 0 0
<<< t 52 83127 31 -1 0 1471 0 0 0 0 0 0
<<< t 53 83199 31 -1 0 1471 0 0 0 0 0 0
<<< t 54 83271 31 -1 0 1471 0 0 0 0 0 0
<<< t 55 83343 31 -1 0 1471 0 0 0 0 0 0
<<< t 56 83415 31 -1 0 1471 0 0 0 0 0 0
<<< t 57 83487 31 -1 0 1471 0 0 0 0 0 0
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
<<< t 58 83559 31 -1 0 1471 0 0 0 0 0 0
<<< t 59 83631 31 -1 0 1471 0 0 0 0 0 0
<<< t 60 83703 31 -1 0 1471 0 0 0 0 0 0
<<< t 61 83775 31 -1 0 1471 0 0 0 0 0 0
<<< t 62 83831 31 -1 0 1471 0 0 0 0 0 0
<<< t 63 83887 31 -1 0 1471 0 0 0 0 0 0
<<< t 64 83943 31 -1 0 1471 0 0 0 0 0 0
<<< t 65 83999 31 -1 0 1471 0 0 0 0 0 0
<<< t 66 84055 31 -1 0 1471 0 0 0 0 0 0
<<< t 67 84111 31 -1 0 1471 0 0 0 0 0 0
<<< t 68 84167 31 -1 0 1471 0 0 0 0 0 0
<<< t 69 84223 31 -1 0 1471 0 0 0 0 0 0
<<< t 70 84279 31 -1 0 1471 0 0 0 0 0 0
<<< t 71 84335 31 -1 0 1471 0 0 0 0 0 0
<<< t 72 84391 31 -1 0 1471 0 0 0 0 0 0
<<< t 73 84447 31 -1 0 1471 0 0 0 0 0 0
<<< t 74 84503 31 -1 0 1471 0 0 0 0 0 0
<<< t 75 84559 31 -1 0 1471 0 0 0 0 0 0
<<< t 76 84615 31 -1 0 1471 0 0 0 0 0 0
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
<<< t 77 84671 31 -1 0 1471 0 0 0 0 0 0
<<< t 78 84727 31 -1 0 1471 0 0 0 0 0 0
<<< t 79 84783 31 -1 0 1471 0 0 0 0 0 0
POSE AFTER FIRST PIVOT: {'seq': '79', 'now': '84783', 'flags': '31', 'x': '-1', 'y': '0', 'h': '1471', 'ox': '0', 'oy': '0', 'oh': '0', 'vl': '0', 'vr': '0', 'i2cf': '0'}
--- SET rebase 1 ---
>>> SET rebase 1 #3
<<< ack 3 2 timeout
<<< t 80 84839 31 0 0 0 0 0 0 0 0 0
<<< t 81 84895 31 0 0 0 0 0 0 0 0 0
<<< t 82 84951 31 0 0 0 0 0 0 0 0 0
<<< t 83 85007 31 0 0 0 0 0 0 0 0 0
<<< t 84 85063 31 0 0 0 0 0 0 0 0 0
<<< t 85 85119 31 0 0 0 0 0 0 0 0 0
<<< t 86 85175 31 0 0 0 0 0 0 0 0 0
<<< t 87 85231 31 0 0 0 0 0 0 0 0 0
<<< t 88 85287 31 0 0 0 0 0 0 0 0 0
<<< t 89 85343 31 0 0 0 0 0 0 0 0 0
<<< t 90 85399 31 0 0 0 0 0 0 0 0 0
<<< t 91 85455 31 0 0 0 0 0 0 0 0 0
<<< t 92 85511 31 0 0 0 0 0 0 0 0 0
<<< t 93 85567 31 0 0 0 0 0 0 0 0 0
<<< t 94 85623 31 0 0 0 0 0 0 0 0 0
<<< t 95 85679 31 0 0 0 0 0 0 0 0 0
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
<<< t 96 85735 31 0 0 0 0 0 0 0 0 0
<<< t 97 85791 31 0 0 0 0 0 0 0 0 0
--- pose after rebase ---
<<< t 98 85847 31 0 0 0 0 0 0 0 0 0
<<< t 99 85903 31 0 0 0 0 0 0 0 0 0
<<< t 100 85959 31 0 0 0 0 0 0 0 0 0
<<< t 101 86015 31 0 0 0 0 0 0 0 0 0
<<< t 102 86071 31 0 0 0 0 0 0 0 0 0
<<< t 103 86127 31 0 0 0 0 0 0 0 0 0
<<< t 104 86183 31 0 0 0 0 0 0 0 0 0
<<< t 105 86239 31 0 0 0 0 0 0 0 0 0
<<< t 106 86295 31 0 0 0 0 0 0 0 0 0
<<< t 107 86351 31 0 0 0 0 0 0 0 0 0
<<< t 108 86407 31 0 0 0 0 0 0 0 0 0
<<< t 109 86463 31 0 0 0 0 0 0 0 0 0
<<< t 110 86519 31 0 0 0 0 0 0 0 0 0
<<< t 111 86575 31 0 0 0 0 0 0 0 0 0
<<< t 112 86631 31 0 0 0 0 0 0 0 0 0
<<< t 113 86687 31 0 0 0 0 0 0 0 0 0
<<< t 114 86743 31 0 0 0 0 0 0 0 0 0
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
POSE AFTER REBASE: None
--- second pivot: MOVE_X 0 -250 60 3000 ---
>>> MOVE_X 0 -250 60 3000 #4
<<< t 115 86799 31 0 0 0 0 0 0 0 0 0
<<< ack 4 2 timeout
<<< t 116 86872 31 0 0 -30 0 0 0 0 0 0
<<< t 117 86923 31 0 0 -30 0 0 0 0 0 0
<<< t 118 86995 31 0 0 -30 0 0 0 0 0 0
<<< t 119 87067 31 0 0 -30 0 0 0 0 0 0
<<< t 120 87139 31 0 0 -30 0 0 0 0 0 0
<<< t 121 87211 31 0 0 -30 0 0 0 0 0 0
<<< t 122 87283 31 0 0 -30 0 0 0 0 0 0
<<< t 123 87355 31 0 0 -30 0 0 0 0 0 0
<<< t 124 87427 31 0 0 -30 0 0 0 0 0 0
<<< t 125 87499 31 0 0 -30 0 0 0 0 0 0
<<< t 126 87571 31 0 0 -30 0 0 0 0 0 0
<<< t 127 87643 31 0 0 -30 0 0 0 0 0 0
<<< t 0 87715 31 0 0 -30 0 0 0 0 0 0
<<< t 1 87787 31 0 0 -30 0 0 0 0 0 0
<<< t 2 87859 31 0 0 -30 0 0 0 0 0 0
<<< t 3 87931 31 0 0 -30 0 0 0 0 0 0
<<< t 4 88003 31 0 0 -30 0 0 0 0 0 0
<<< t 5 88075 31 0 0 -30 0 0 0 0 0 0
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
<<< t 6 88147 31 0 0 -30 0 0 0 0 0 0
<<< t 7 88219 31 0 0 -30 0 0 0 0 0 0
<<< t 8 88291 31 0 0 -30 0 0 0 0 0 0
<<< t 9 88363 31 0 0 -30 0 0 0 0 0 0
<<< t 10 88435 31 0 0 -30 0 0 0 0 0 0
<<< t 11 88507 31 0 0 -30 0 0 0 0 0 0
<<< t 12 88579 31 0 0 -30 0 0 0 0 0 0
<<< t 13 88651 31 0 0 -30 0 0 0 0 0 0
<<< t 14 88723 31 0 0 -30 0 0 0 0 0 0
<<< t 15 88795 31 0 0 -30 0 0 0 0 0 0
<<< t 16 88867 31 0 0 -30 0 0 0 0 0 0
<<< t 17 88939 31 0 0 -30 0 0 0 0 0 0
<<< t 18 89011 31 0 0 -30 0 0 0 0 0 0
<<< t 19 89083 31 0 0 -30 0 0 0 0 0 0
<<< t 20 89155 31 0 0 -30 0 0 0 0 0 0
<<< t 21 89227 31 0 0 -30 0 0 0 0 0 0
<<< t 22 89299 31 0 0 -30 0 0 0 0 0 0
<<< t 23 89371 31 0 0 -30 0 0 0 0 0 0
<<< t 24 89443 31 0 0 -30 0 0 0 0 0 0
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
<<< t 25 89515 31 0 0 -30 0 0 0 0 0 0
<<< t 26 89587 31 0 0 -30 0 0 0 0 0 0
<<< t 27 89659 31 0 0 -30 0 0 0 0 0 0
<<< t 28 89731 31 0 0 -30 0 0 0 0 0 0
<<< t 29 89803 31 0 0 -30 0 0 0 0 0 0
<<< t 30 89859 31 0 0 -30 0 0 0 0 0 0
<<< t 31 89915 31 0 0 -30 0 0 0 0 0 0
<<< t 32 89971 31 0 0 -30 0 0 0 0 0 0
<<< t 33 90027 31 0 0 -30 0 0 0 0 0 0
<<< t 34 90083 31 0 0 -30 0 0 0 0 0 0
<<< t 35 90139 31 0 0 -30 0 0 0 0 0 0
<<< t 36 90195 31 0 0 -30 0 0 0 0 0 0
<<< t 37 90251 31 0 0 -30 0 0 0 0 0 0
<<< t 38 90307 31 0 0 -30 0 0 0 0 0 0
<<< t 39 90363 31 0 0 -30 0 0 0 0 0 0
<<< t 40 90419 31 0 0 -30 0 0 0 0 0 0
<<< t 41 90475 31 0 0 -30 0 0 0 0 0 0
<<< t 42 90531 31 0 0 -30 0 0 0 0 0 0
<<< t 43 90587 31 0 0 -30 0 0 0 0 0 0
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
<<< t 44 90643 31 0 0 -30 0 0 0 0 0 0
<<< t 45 90699 31 0 0 -30 0 0 0 0 0 0
<<< t 46 90755 31 0 0 -30 0 0 0 0 0 0
<<< t 47 90811 31 0 0 -30 0 0 0 0 0 0
POSE AFTER SECOND PIVOT (post-rebase): {'seq': '47', 'now': '90811', 'flags': '31', 'x': '0', 'y': '0', 'h': '-30', 'ox': '0', 'oy': '0', 'oh': '0', 'vl': '0', 'vr': '0', 'i2cf': '0'}
--- SET estop_clear 1 (idle robot, no prior ESTOP) ---
>>> SET estop_clear 1 #5
<<< ack 5 4 timeout
<<< t 48 90867 31 0 0 -30 0 0 0 0 0 0
<<< t 49 90923 31 0 0 -30 0 0 0 0 0 0
<<< t 50 90979 31 0 0 -30 0 0 0 0 0 0
<<< t 51 91035 31 0 0 -30 0 0 0 0 0 0
<<< t 52 91091 31 0 0 -30 0 0 0 0 0 0
<<< t 53 91147 31 0 0 -30 0 0 0 0 0 0
<<< t 54 91203 31 0 0 -30 0 0 0 0 0 0
<<< t 55 91259 31 0 0 -30 0 0 0 0 0 0
<<< t 56 91315 31 0 0 -30 0 0 0 0 0 0
<<< t 57 91371 31 0 0 -30 0 0 0 0 0 0
<<< t 58 91427 31 0 0 -30 0 0 0 0 0 0
<<< t 59 91483 31 0 0 -30 0 0 0 0 0 0
<<< t 60 91539 31 0 0 -30 0 0 0 0 0 0
<<< t 61 91595 31 0 0 -30 0 0 0 0 0 0
<<< t 62 91651 31 0 0 -30 0 0 0 0 0 0
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
<<< t 63 91707 31 0 0 -30 0 0 0 0 0 0
<<< t 64 91763 31 0 0 -30 0 0 0 0 0 0
<<< t 65 91819 31 0 0 -30 0 0 0 0 0 0
--- refusal check: MOVE_X then immediate SET rebase 1 ---
>>> MOVE_X 0 250 40 3000 #6
<<< ack 6 4 timeout
<<< t 66 91879 31 0 0 0 0 0 0 -14 8 0
<<< t 67 91951 31 -1 0 177 0 0 0 -46 36 0
<<< t 68 92023 31 0 0 553 0 0 0 -53 72 0
<<< t 69 92095 31 0 0 1027 0 0 0 -75 66 0
<<< t 70 92176 31 0 0 1381 0 0 0 0 0 0
>>> SET rebase 1 #7
<<< ack 7 6 stop
<<< t 71 92231 31 0 0 0 0 0 0 0 0 0
<<< t 72 92287 31 0 0 0 0 0 0 0 0 0
<<< t 73 92343 31 0 0 0 0 0 0 0 0 0
<<< t 74 92399 31 0 0 0 0 0 0 0 0 0
<<< t 75 92455 31 0 0 0 0 0 0 0 0 0
<<< t 76 92511 31 0 0 0 0 0 0 0 0 0
<<< t 77 92567 31 0 0 0 0 0 0 0 0 0
<<< t 78 92623 31 0 0 0 0 0 0 0 0 0
<<< t 79 92679 31 0 0 0 0 0 0 0 0 0
<<< t 80 92735 31 0 0 0 0 0 0 0 0 0
<<< t 81 92791 31 0 0 0 0 0 0 0 0 0
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
<<< t 82 92847 31 0 0 0 0 0 0 0 0 0
<<< t 83 92903 31 0 0 0 0 0 0 0 0 0
<<< t 84 92959 31 0 0 0 0 0 0 0 0 0
<<< t 85 93015 31 0 0 0 0 0 0 0 0 0
<<< t 86 93071 31 0 0 0 0 0 0 0 0 0
<<< t 87 93127 31 0 0 0 0 0 0 0 0 0
<<< t 88 93183 31 0 0 0 0 0 0 0 0 0
<<< t 89 93239 31 0 0 0 0 0 0 0 0 0
<<< t 90 93295 31 0 0 0 0 0 0 0 0 0
<<< t 91 93351 31 0 0 0 0 0 0 0 0 0
<<< t 92 93407 31 0 0 0 0 0 0 0 0 0
<<< t 93 93463 31 0 0 0 0 0 0 0 0 0
<<< t 94 93519 31 0 0 0 0 0 0 0 0 0
<<< t 95 93575 31 0 0 0 0 0 0 0 0 0
<<< t 96 93631 31 0 0 0 0 0 0 0 0 0
<<< t 97 93687 31 0 0 0 0 0 0 0 0 0
<<< t 98 93743 31 0 0 0 0 0 0 0 0 0
<<< t 99 93799 31 0 0 0 0 0 0 0 0 0
<<< t 100 93855 31 0 0 0 0 0 0 0 0 0
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
<<< t 101 93911 31 0 0 0 0 0 0 0 0 0
<<< t 102 93967 31 0 0 0 0 0 0 0 0 0
<<< t 103 94023 31 0 0 0 0 0 0 0 0 0
<<< t 104 94079 31 0 0 0 0 0 0 0 0 0
<<< t 105 94135 31 0 0 0 0 0 0 0 0 0
<<< t 106 94191 31 0 0 0 0 0 0 0 0 0
<<< t 107 94247 31 0 0 0 0 0 0 0 0 0
<<< t 108 94303 31 0 0 0 0 0 0 0 0 0
<<< t 109 94359 31 0 0 0 0 0 0 0 0 0
<<< t 110 94415 31 0 0 0 0 0 0 0 0 0
<<< t 111 94471 31 0 0 0 0 0 0 0 0 0
<<< t 112 94527 31 0 0 0 0 0 0 0 0 0
<<< t 113 94583 31 0 0 0 0 0 0 0 0 0
<<< t 114 94639 31 0 0 0 0 0 0 0 0 0
<<< t 115 94695 31 0 0 0 0 0 0 0 0 0
<<< t 116 94751 31 0 0 0 0 0 0 0 0 0
<<< t 117 94807 31 0 0 0 0 0 0 0 0 0
<<< t 118 94863 31 0 0 0 0 0 0 0 0 0
<<< t 119 94919 31 0 0 0 0 0 0 0 0 0
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
<<< t 120 94975 31 0 0 0 0 0 0 0 0 0
<<< t 121 95031 31 0 0 0 0 0 0 0 0 0
<<< t 122 95087 31 0 0 0 0 0 0 0 0 0
<<< t 123 95143 31 0 0 0 0 0 0 0 0 0
<<< t 124 95199 31 0 0 0 0 0 0 0 0 0
<<< t 125 95255 31 0 0 0 0 0 0 0 0 0
<<< t 126 95311 31 0 0 0 0 0 0 0 0 0
<<< t 127 95367 31 0 0 0 0 0 0 0 0 0
<<< t 0 95423 31 0 0 0 0 0 0 0 0 0
<<< t 1 95479 31 0 0 0 0 0 0 0 0 0
<<< t 2 95535 31 0 0 0 0 0 0 0 0 0
<<< t 3 95591 31 0 0 0 0 0 0 0 0 0
<<< t 4 95647 31 0 0 0 0 0 0 0 0 0
<<< t 5 95703 31 0 0 0 0 0 0 0 0 0
<<< t 6 95759 31 0 0 0 0 0 0 0 0 0
<<< t 7 95815 31 0 0 0 0 0 0 0 0 0
<<< t 8 95871 31 0 0 0 0 0 0 0 0 0
<<< t 9 95927 31 0 0 0 0 0 0 0 0 0
<<< t 10 95983 31 0 0 0 0 0 0 0 0 0
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
<<< t 11 96039 31 0 0 0 0 0 0 0 0 0
<<< t 12 96095 31 0 0 0 0 0 0 0 0 0
<<< t 13 96151 31 0 0 0 0 0 0 0 0 0
<<< t 14 96207 31 0 0 0 0 0 0 0 0 0

=== SUMMARY ===
banner: device NEZHA2 robot tigez 3527777815
rebase ack/reply: ['ack 3 2 timeout', 't 80 84839 31 0 0 0 0 0 0 0 0 0', 't 81 84895 31 0 0 0 0 0 0 0 0 0', 't 82 84951 31 0 0 0 0 0 0 0 0 0', 't 83 85007 31 0 0 0 0 0 0 0 0 0', 't 84 85063 31 0 0 0 0 0 0 0 0 0', 't 85 85119 31 0 0 0 0 0 0 0 0 0', 't 86 85175 31 0 0 0 0 0 0 0 0 0', 't 87 85231 31 0 0 0 0 0 0 0 0 0', 't 88 85287 31 0 0 0 0 0 0 0 0 0', 't 89 85343 31 0 0 0 0 0 0 0 0 0', 't 90 85399 31 0 0 0 0 0 0 0 0 0', 't 91 85455 31 0 0 0 0 0 0 0 0 0', 't 92 85511 31 0 0 0 0 0 0 0 0 0', 't 93 85567 31 0 0 0 0 0 0 0 0 0', 't 94 85623 31 0 0 0 0 0 0 0 0 0', 't 95 85679 31 0 0 0 0 0 0 0 0 0', 'thdr seq now flags x y h ox oy oh vl vr i2cf', 't 96 85735 31 0 0 0 0 0 0 0 0 0', 't 97 85791 31 0 0 0 0 0 0 0 0 0']
pose after rebase: None
estop_clear ack/reply: ['ack 5 4 timeout', 't 48 90867 31 0 0 -30 0 0 0 0 0 0', 't 49 90923 31 0 0 -30 0 0 0 0 0 0', 't 50 90979 31 0 0 -30 0 0 0 0 0 0', 't 51 91035 31 0 0 -30 0 0 0 0 0 0', 't 52 91091 31 0 0 -30 0 0 0 0 0 0', 't 53 91147 31 0 0 -30 0 0 0 0 0 0', 't 54 91203 31 0 0 -30 0 0 0 0 0 0', 't 55 91259 31 0 0 -30 0 0 0 0 0 0', 't 56 91315 31 0 0 -30 0 0 0 0 0 0', 't 57 91371 31 0 0 -30 0 0 0 0 0 0', 't 58 91427 31 0 0 -30 0 0 0 0 0 0', 't 59 91483 31 0 0 -30 0 0 0 0 0 0', 't 60 91539 31 0 0 -30 0 0 0 0 0 0', 't 61 91595 31 0 0 -30 0 0 0 0 0 0', 't 62 91651 31 0 0 -30 0 0 0 0 0 0', 'thdr seq now flags x y h ox oy oh vl vr i2cf', 't 63 91707 31 0 0 -30 0 0 0 0 0 0', 't 64 91763 31 0 0 -30 0 0 0 0 0 0', 't 65 91819 31 0 0 -30 0 0 0 0 0 0']
busy-move ack: ['ack 6 4 timeout', 't 66 91879 31 0 0 0 0 0 0 -14 8 0', 't 67 91951 31 -1 0 177 0 0 0 -46 36 0', 't 68 92023 31 0 0 553 0 0 0 -53 72 0', 't 69 92095 31 0 0 1027 0 0 0 -75 66 0', 't 70 92176 31 0 0 1381 0 0 0 0 0 0']
rebase-during-move refusal reply: ['ack 7 6 stop', 't 71 92231 31 0 0 0 0 0 0 0 0 0', 't 72 92287 31 0 0 0 0 0 0 0 0 0', 't 73 92343 31 0 0 0 0 0 0 0 0 0', 't 74 92399 31 0 0 0 0 0 0 0 0 0', 't 75 92455 31 0 0 0 0 0 0 0 0 0', 't 76 92511 31 0 0 0 0 0 0 0 0 0', 't 77 92567 31 0 0 0 0 0 0 0 0 0', 't 78 92623 31 0 0 0 0 0 0 0 0 0', 't 79 92679 31 0 0 0 0 0 0 0 0 0', 't 80 92735 31 0 0 0 0 0 0 0 0 0', 't 81 92791 31 0 0 0 0 0 0 0 0 0', 'thdr seq now flags x y h ox oy oh vl vr i2cf', 't 82 92847 31 0 0 0 0 0 0 0 0 0', 't 83 92903 31 0 0 0 0 0 0 0 0 0', 't 84 92959 31 0 0 0 0 0 0 0 0 0', 't 85 93015 31 0 0 0 0 0 0 0 0 0', 't 86 93071 31 0 0 0 0 0 0 0 0 0', 't 87 93127 31 0 0 0 0 0 0 0 0 0', 't 88 93183 31 0 0 0 0 0 0 0 0 0', 't 89 93239 31 0 0 0 0 0 0 0 0 0', 't 90 93295 31 0 0 0 0 0 0 0 0 0', 't 91 93351 31 0 0 0 0 0 0 0 0 0', 't 92 93407 31 0 0 0 0 0 0 0 0 0', 't 93 93463 31 0 0 0 0 0 0 0 0 0', 't 94 93519 31 0 0 0 0 0 0 0 0 0', 't 95 93575 31 0 0 0 0 0 0 0 0 0', 't 96 93631 31 0 0 0 0 0 0 0 0 0', 't 97 93687 31 0 0 0 0 0 0 0 0 0', 't 98 93743 31 0 0 0 0 0 0 0 0 0', 't 99 93799 31 0 0 0 0 0 0 0 0 0', 't 100 93855 31 0 0 0 0 0 0 0 0 0', 'thdr seq now flags x y h ox oy oh vl vr i2cf', 't 101 93911 31 0 0 0 0 0 0 0 0 0', 't 102 93967 31 0 0 0 0 0 0 0 0 0', 't 103 94023 31 0 0 0 0 0 0 0 0 0', 't 104 94079 31 0 0 0 0 0 0 0 0 0', 't 105 94135 31 0 0 0 0 0 0 0 0 0', 't 106 94191 31 0 0 0 0 0 0 0 0 0']
